2019-09-14 00:27:01.323 [39mDEBUG[0;39m [1002] [Thread-31] [36mo.s.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext[0;39m: Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@d3957fe, started on Fri Sep 13 22:23:03 CST 2019
2019-09-14 00:27:24.841 [39mDEBUG[0;39m [51] [main] [36morg.springframework.boot.context.logging.ClasspathLoggingApplicationListener[0;39m: Application started with classpath: [file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/lib/ant-javafx.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/lib/dt.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/lib/javafx-mx.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/lib/jconsole.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/lib/packager.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/lib/sa-jdi.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/lib/tools.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/charsets.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/deploy.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/javaws.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/jce.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/jfr.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/jfxswt.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/jsse.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/management-agent.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/plugin.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/resources.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/rt.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/ext/cldrdata.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/ext/dnsns.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/ext/jaccess.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/ext/jfxrt.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/ext/localedata.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/ext/nashorn.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/ext/sunec.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar, file:/Library/Java/JavaVirtualMachines/jdk1.8.0_65.jdk/Contents/Home/jre/lib/ext/zipfs.jar, file:/Users/Apple/Desktop/git/tongue-security-console/target/classes/, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot-starter-web/2.1.8.RELEASE/spring-boot-starter-web-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot-starter/2.1.8.RELEASE/spring-boot-starter-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot/2.1.8.RELEASE/spring-boot-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot-starter-logging/2.1.8.RELEASE/spring-boot-starter-logging-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar, file:/Users/Apple/Documents/Java/mvn-resp/ch/qos/logback/logback-core/1.2.3/logback-core-1.2.3.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/apache/logging/log4j/log4j-to-slf4j/2.11.2/log4j-to-slf4j-2.11.2.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/apache/logging/log4j/log4j-api/2.11.2/log4j-api-2.11.2.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/slf4j/jul-to-slf4j/1.7.28/jul-to-slf4j-1.7.28.jar, file:/Users/Apple/Documents/Java/mvn-resp/javax/annotation/javax.annotation-api/1.3.2/javax.annotation-api-1.3.2.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/yaml/snakeyaml/1.23/snakeyaml-1.23.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot-starter-json/2.1.8.RELEASE/spring-boot-starter-json-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/com/fasterxml/jackson/core/jackson-databind/2.9.9.3/jackson-databind-2.9.9.3.jar, file:/Users/Apple/Documents/Java/mvn-resp/com/fasterxml/jackson/core/jackson-annotations/2.9.0/jackson-annotations-2.9.0.jar, file:/Users/Apple/Documents/Java/mvn-resp/com/fasterxml/jackson/core/jackson-core/2.9.9/jackson-core-2.9.9.jar, file:/Users/Apple/Documents/Java/mvn-resp/com/fasterxml/jackson/datatype/jackson-datatype-jdk8/2.9.9/jackson-datatype-jdk8-2.9.9.jar, file:/Users/Apple/Documents/Java/mvn-resp/com/fasterxml/jackson/datatype/jackson-datatype-jsr310/2.9.9/jackson-datatype-jsr310-2.9.9.jar, file:/Users/Apple/Documents/Java/mvn-resp/com/fasterxml/jackson/module/jackson-module-parameter-names/2.9.9/jackson-module-parameter-names-2.9.9.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot-starter-tomcat/2.1.8.RELEASE/spring-boot-starter-tomcat-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/apache/tomcat/embed/tomcat-embed-core/9.0.24/tomcat-embed-core-9.0.24.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/apache/tomcat/embed/tomcat-embed-el/9.0.24/tomcat-embed-el-9.0.24.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/apache/tomcat/embed/tomcat-embed-websocket/9.0.24/tomcat-embed-websocket-9.0.24.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/spring-web/5.1.9.RELEASE/spring-web-5.1.9.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/spring-beans/5.1.9.RELEASE/spring-beans-5.1.9.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/spring-webmvc/5.1.9.RELEASE/spring-webmvc-5.1.9.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/spring-context/5.1.9.RELEASE/spring-context-5.1.9.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/spring-expression/5.1.9.RELEASE/spring-expression-5.1.9.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/spring-core/5.1.9.RELEASE/spring-core-5.1.9.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/spring-jcl/5.1.9.RELEASE/spring-jcl-5.1.9.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot-starter-actuator/2.1.8.RELEASE/spring-boot-starter-actuator-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot-actuator-autoconfigure/2.1.8.RELEASE/spring-boot-actuator-autoconfigure-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot-actuator/2.1.8.RELEASE/spring-boot-actuator-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/io/micrometer/micrometer-core/1.1.6/micrometer-core-1.1.6.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/hdrhistogram/HdrHistogram/2.1.9/HdrHistogram-2.1.9.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/latencyutils/LatencyUtils/2.0.3/LatencyUtils-2.0.3.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot-starter-aop/2.1.8.RELEASE/spring-boot-starter-aop-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/spring-aop/5.1.9.RELEASE/spring-aop-5.1.9.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/aspectj/aspectjweaver/1.9.4/aspectjweaver-1.9.4.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot-starter-jdbc/2.1.8.RELEASE/spring-boot-starter-jdbc-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/com/zaxxer/HikariCP/3.2.0/HikariCP-3.2.0.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/spring-jdbc/5.1.9.RELEASE/spring-jdbc-5.1.9.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/spring-tx/5.1.9.RELEASE/spring-tx-5.1.9.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/mysql/mysql-connector-java/8.0.12/mysql-connector-java-8.0.12.jar, file:/Users/Apple/Documents/Java/mvn-resp/com/alibaba/druid-spring-boot-starter/1.1.10/druid-spring-boot-starter-1.1.10.jar, file:/Users/Apple/Documents/Java/mvn-resp/com/alibaba/druid/1.1.10/druid-1.1.10.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/slf4j/slf4j-api/1.7.28/slf4j-api-1.7.28.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/springframework/boot/spring-boot-autoconfigure/2.1.8.RELEASE/spring-boot-autoconfigure-2.1.8.RELEASE.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/mybatis/mybatis/3.5.2/mybatis-3.5.2.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/mybatis/spring/boot/mybatis-spring-boot-starter/1.3.2/mybatis-spring-boot-starter-1.3.2.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/mybatis/spring/boot/mybatis-spring-boot-autoconfigure/1.3.2/mybatis-spring-boot-autoconfigure-1.3.2.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/mybatis/mybatis-spring/1.3.2/mybatis-spring-1.3.2.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/mybatis/generator/mybatis-generator-core/1.3.7/mybatis-generator-core-1.3.7.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/hibernate/validator/hibernate-validator/6.0.12.Final/hibernate-validator-6.0.12.Final.jar, file:/Users/Apple/Documents/Java/mvn-resp/javax/validation/validation-api/2.0.1.Final/validation-api-2.0.1.Final.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/jboss/logging/jboss-logging/3.3.3.Final/jboss-logging-3.3.3.Final.jar, file:/Users/Apple/Documents/Java/mvn-resp/com/fasterxml/classmate/1.4.0/classmate-1.4.0.jar, file:/Users/Apple/Documents/Java/mvn-resp/org/apache/commons/commons-lang3/3.8/commons-lang3-3.8.jar, file:/Users/Apple/Documents/Java/mvn-resp/commons-collections/commons-collections/3.2.2/commons-collections-3.2.2.jar, file:/Users/Apple/Documents/Java/mvn-resp/com/alibaba/fastjson/1.2.60/fastjson-1.2.60.jar, file:/Users/Apple/Documents/Java/mvn-resp/commons-beanutils/commons-beanutils/1.9.3/commons-beanutils-1.9.3.jar, file:/Users/Apple/Documents/Java/mvn-resp/commons-logging/commons-logging/1.2/commons-logging-1.2.jar, file:/Applications/IntelliJ%20IDEA.app/Contents/lib/idea_rt.jar, file:/Users/Apple/Library/Caches/IntelliJIdea2019.2/captureAgent/debugger-agent.jar]
2019-09-14 00:27:25.229 [39mDEBUG[0;39m [115] [main] [36morg.springframework.core.env.PropertySourcesPropertyResolver[0;39m: Found key 'spring.application.name' in PropertySource 'configurationProperties' with value of type String
2019-09-14 00:27:25.250 [34mINFO [0;39m [50] [main] [36mcom.km.team.tongue.security.console.Application[0;39m: Starting Application on AppledeMacBook-Pro.local with PID 49194 (/Users/Apple/Desktop/git/tongue-security-console/target/classes started by JJ in /Users/Apple/Desktop/git/tongue-security-console)
2019-09-14 00:27:25.252 [39mDEBUG[0;39m [53] [main] [36mcom.km.team.tongue.security.console.Application[0;39m: Running with Spring Boot v2.1.8.RELEASE, Spring v5.1.9.RELEASE
2019-09-14 00:27:25.252 [34mINFO [0;39m [652] [main] [36mcom.km.team.tongue.security.console.Application[0;39m: The following profiles are active: dev
2019-09-14 00:27:25.253 [39mDEBUG[0;39m [676] [main] [36morg.springframework.boot.SpringApplication[0;39m: Loading source class com.km.team.tongue.security.console.Application
2019-09-14 00:27:25.525 [39mDEBUG[0;39m [222] [main] [36morg.springframework.boot.context.config.ConfigFileApplicationListener[0;39m: Activated activeProfiles dev
2019-09-14 00:27:25.526 [39mDEBUG[0;39m [222] [main] [36morg.springframework.boot.context.config.ConfigFileApplicationListener[0;39m: Loaded config file 'file:/Users/Apple/Desktop/git/tongue-security-console/target/classes/application.yml' (classpath:/application.yml)
2019-09-14 00:27:25.526 [39mDEBUG[0;39m [222] [main] [36morg.springframework.boot.context.config.ConfigFileApplicationListener[0;39m: Loaded config file 'file:/Users/Apple/Desktop/git/tongue-security-console/target/classes/application-dev.yml' (classpath:/application-dev.yml) for profile dev
2019-09-14 00:27:25.529 [39mDEBUG[0;39m [594] [main] [36mo.s.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext[0;39m: Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@69653e16
2019-09-14 00:27:25.603 [39mDEBUG[0;39m [213] [main] [36morg.springframework.beans.factory.support.DefaultListableBeanFactory[0;39m: Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2019-09-14 00:27:25.665 [39mDEBUG[0;39m [213] [main] [36morg.springframework.beans.factory.support.DefaultListableBeanFactory[0;39m: Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2019-09-14 00:27:26.367 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/aop/RequestLogAspect.class]
2019-09-14 00:27:26.482 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/config/CharacterEncodingFilterConfiguration.class]
2019-09-14 00:27:26.485 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/config/FastJsonConfiguration.class]
2019-09-14 00:27:26.510 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/config/MyBatisConfiguration.class]
2019-09-14 00:27:26.512 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/config/WebMvcConfiguration.class]
2019-09-14 00:27:26.543 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/controller/CameraController.class]
2019-09-14 00:27:26.552 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/controller/OrgController.class]
2019-09-14 00:27:26.556 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/controller/WarningController.class]
2019-09-14 00:27:26.562 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/controller/base/ServiceContainer.class]
2019-09-14 00:27:26.589 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/interceptor/DefaultGlobalExceptionHandler.class]
2019-09-14 00:27:26.604 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/service/impl/CameraSreviceImpl.class]
2019-09-14 00:27:26.609 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/service/impl/MessageServiceImpl.class]
2019-09-14 00:27:26.612 [39mDEBUG[0;39m [437] [main] [36morg.springframework.context.annotation.ClassPathBeanDefinitionScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/service/impl/OrgServiceImpl.class]
2019-09-14 00:27:27.401 [39mDEBUG[0;39m [115] [main] [36morg.springframework.core.env.PropertySourcesPropertyResolver[0;39m: Found key 'spring.datasource.druid.stat-view-servlet.enabled' in PropertySource 'configurationProperties' with value of type Boolean
2019-09-14 00:27:27.447 [39mDEBUG[0;39m [115] [main] [36morg.springframework.core.env.PropertySourcesPropertyResolver[0;39m: Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
2019-09-14 00:27:27.452 [39mDEBUG[0;39m [115] [main] [36morg.springframework.core.env.PropertySourcesPropertyResolver[0;39m: Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
2019-09-14 00:27:27.456 [39mDEBUG[0;39m [115] [main] [36morg.springframework.core.env.PropertySourcesPropertyResolver[0;39m: Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
2019-09-14 00:27:27.457 [39mDEBUG[0;39m [115] [main] [36morg.springframework.core.env.PropertySourcesPropertyResolver[0;39m: Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2019-09-14 00:27:27.472 [39mDEBUG[0;39m [115] [main] [36morg.springframework.core.env.PropertySourcesPropertyResolver[0;39m: Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
2019-09-14 00:27:27.667 [39mDEBUG[0;39m [115] [main] [36morg.springframework.core.env.PropertySourcesPropertyResolver[0;39m: Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2019-09-14 00:27:27.787 [39mDEBUG[0;39m [115] [main] [36morg.springframework.core.env.PropertySourcesPropertyResolver[0;39m: Found key 'spring.application.admin.enabled' in PropertySource 'configurationProperties' with value of type String
2019-09-14 00:27:27.849 [39mDEBUG[0;39m [115] [main] [36morg.springframework.core.env.PropertySourcesPropertyResolver[0;39m: Found key 'server.port' in PropertySource 'configurationProperties' with value of type Integer
2019-09-14 00:27:27.851 [39mDEBUG[0;39m [115] [main] [36morg.springframework.core.env.PropertySourcesPropertyResolver[0;39m: Found key 'server.port' in PropertySource 'configurationProperties' with value of type Integer
2019-09-14 00:27:27.954 [39mDEBUG[0;39m [437] [main] [36morg.mybatis.spring.mapper.ClassPathMapperScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/dao/mybatis/PushMessageMapper.class]
2019-09-14 00:27:27.954 [39mDEBUG[0;39m [437] [main] [36morg.mybatis.spring.mapper.ClassPathMapperScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/dao/mybatis/TcameraMapper.class]
2019-09-14 00:27:27.955 [39mDEBUG[0;39m [437] [main] [36morg.mybatis.spring.mapper.ClassPathMapperScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/dao/mybatis/TorganizationMapper.class]
2019-09-14 00:27:27.956 [39mDEBUG[0;39m [437] [main] [36morg.mybatis.spring.mapper.ClassPathMapperScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/dao/mybatis/custom/PushMessageMapperCustom.class]
2019-09-14 00:27:27.956 [39mDEBUG[0;39m [437] [main] [36morg.mybatis.spring.mapper.ClassPathMapperScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/dao/mybatis/custom/TcameraMapperCustom.class]
2019-09-14 00:27:27.957 [39mDEBUG[0;39m [437] [main] [36morg.mybatis.spring.mapper.ClassPathMapperScanner[0;39m: Identified candidate component class: file [/Users/Apple/Desktop/git/tongue-security-console/target/classes/com/km/team/tongue/security/console/dao/mybatis/custom/TorganizationMapperCustom.class]
2019-09-14 00:27:27.958 [39mDEBUG[0;39m [180] [main] [36morg.mybatis.spring.mapper.ClassPathMapperScanner[0;39m: Creating MapperFactoryBean with name 'pushMessageMapper' and 'com.km.team.tongue.security.console.dao.mybatis.PushMessageMapper' mapperInterface
2019-09-14 00:27:27.962 [39mDEBUG[0;39m [216] [main] [36morg.mybatis.spring.mapper.ClassPathMapperScanner[0;39m: Enabling autowire by type for MapperFactoryBean with name 'pushMessageMapper'.
2019-09-14 00:27:27.963 [39mDEBUG[0;39m [180] [main] [36morg.mybatis.spring.mapper.ClassPathMapperScanner[0;39m: Creating MapperFactoryBean with name 'tcameraMapper' and 'com.km.team.tongue.security.console.dao.mybatis.TcameraMapper' mapperInterface
2019-09-14 00:27:27.963 [39mDEBUG[0;39m [216] [main] [36morg.mybatis.spring.mapper.ClassPathMapperScanner[0;39m: Enabling autowire by type for MapperFactoryBean with name 'tcameraMapper'.
